generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Oahu_CentralTrackingPV_PV_04,Oahu_CentralTrackingPV_PV_04,CentralTrackingPV,Oahu,SUN,2045,531.5968662279959,0.0,0.0,246.034665955004,36223360.587141514,3534876.4011978256,74.79020196346957,0.24665050160621452,,
Oahu_CentralTrackingPV_PV_04,Oahu_CentralTrackingPV_PV_04,CentralTrackingPV,Oahu,SUN,2050,556.5894613839653,0.0,0.0,246.034665955004,36223360.587141514,3534876.4011978256,71.43188965432452,0.2582465747271893,,
Oahu_CentralTrackingPV_PV_05,Oahu_CentralTrackingPV_PV_05,CentralTrackingPV,Oahu,SUN,2020,50.402633457961116,0.0,0.0,20.0,3370475.718408701,329845.23078469,73.41523042203114,0.2876862640294583,,
Oahu_CentralTrackingPV_PV_05,Oahu_CentralTrackingPV_PV_05,CentralTrackingPV,Oahu,SUN,2023,86.16091427911029,0.0,0.0,34.1890525823313,5488788.589146606,537031.8440098836,69.93682093061825,0.28768626402945885,,
Oahu_CentralTrackingPV_PV_05,Oahu_CentralTrackingPV_PV_05,CentralTrackingPV,Oahu,SUN,2025,86.16091427911047,0.0,0.0,34.1890525823313,5488788.589146606,537031.8440098836,69.93682093061811,0.2876862640294594,,
Oahu_CentralTrackingPV_PV_05,Oahu_CentralTrackingPV_PV_05,CentralTrackingPV,Oahu,SUN,2030,83.24402779357997,0.0,0.0,34.1890525823313,5488788.589146606,537031.8440098836,72.38742036964742,0.27794695029722644,,
Oahu_CentralTrackingPV_PV_05,Oahu_CentralTrackingPV_PV_05,CentralTrackingPV,Oahu,SUN,2035,82.65733601116595,0.0,0.0,34.1890525823313,5488788.589146606,537031.8440098836,72.90121753188943,0.2759880206777854,,
Oahu_CentralTrackingPV_PV_05,Oahu_CentralTrackingPV_PV_05,CentralTrackingPV,Oahu,SUN,2040,81.37372253573905,0.0,0.0,34.1890525823313,5488788.589146606,537031.8440098836,74.05118317537911,0.2717021102009397,,
Oahu_CentralTrackingPV_PV_05,Oahu_CentralTrackingPV_PV_05,CentralTrackingPV,Oahu,SUN,2045,80.28557792657378,0.0,0.0,34.1890525823313,5488788.589146606,537031.8440098836,75.05483037896893,0.2680688588600768,,
Oahu_CentralTrackingPV_PV_05,Oahu_CentralTrackingPV_PV_05,CentralTrackingPV,Oahu,SUN,2050,66.58981907744572,0.0,0.0,28.241765681166143,3326829.2208478535,324954.00391578145,54.83996315587692,0.26916084518489214,,
Oahu_CentralTrackingPV_PV_06,Oahu_CentralTrackingPV_PV_06,CentralTrackingPV,Oahu,SUN,2020,2.047397739683769,0.0,0.0,1.0,443614.9150725367,24311.4263136,228.54686821057555,0.2337212031602475,,
Oahu_CentralTrackingPV_PV_06,Oahu_CentralTrackingPV_PV_06,CentralTrackingPV,Oahu,SUN,2023,2.0473977396837686,0.0,0.0,1.0,443614.9150725367,24311.4263136,228.54686821057552,0.23372120316024755,,
Oahu_CentralTrackingPV_PV_06,Oahu_CentralTrackingPV_PV_06,CentralTrackingPV,Oahu,SUN,2025,2.047397739683769,0.0,0.0,1.0,443614.9150725367,24311.4263136,228.54686821057547,0.2337212031602476,,
Oahu_CentralTrackingPV_PV_06,Oahu_CentralTrackingPV_PV_06,CentralTrackingPV,Oahu,SUN,2030,1.999195865791121,0.0,0.0,1.0,443614.9150725367,24311.4263136,234.05727742487545,0.22821870614053894,,
Oahu_CentralTrackingPV_PV_06,Oahu_CentralTrackingPV_PV_06,CentralTrackingPV,Oahu,SUN,2035,1.8880846875104542,0.0,0.0,1.0,443614.9150725367,24311.4263136,247.83122519950294,0.2155347816792756,,
Oahu_CentralTrackingPV_PV_06,Oahu_CentralTrackingPV_PV_06,CentralTrackingPV,Oahu,SUN,2040,1.8789199301239343,0.0,0.0,1.0,443614.9150725367,24311.4263136,249.0400649245718,0.21448857649816602,,
Oahu_CentralTrackingPV_PV_06,Oahu_CentralTrackingPV_PV_06,CentralTrackingPV,Oahu,SUN,2045,9.724551522091087,0.0,0.0,5.40065683847065,485799.8408043543,47704.194870492276,54.86155679908681,0.2055506680845943,,
Oahu_CentralTrackingPV_PV_06,Oahu_CentralTrackingPV_PV_06,CentralTrackingPV,Oahu,SUN,2050,7.6659575469953865,0.0,0.0,5.40065683847065,485799.8408043543,47704.194870492276,69.59391992510437,0.16203756972375055,,
Oahu_CentralTrackingPV_PV_07,Oahu_CentralTrackingPV_PV_07,CentralTrackingPV,Oahu,SUN,2020,150.4105938091618,0.0,0.0,67.1,12316186.998840466,1157455.3203160106,89.57907802858345,0.2558891074610269,,
Oahu_CentralTrackingPV_PV_07,Oahu_CentralTrackingPV_PV_07,CentralTrackingPV,Oahu,SUN,2023,150.4105938091618,0.0,0.0,67.1,12316186.998840466,1157455.3203160106,89.57907802858342,0.255889107461027,,
Oahu_CentralTrackingPV_PV_07,Oahu_CentralTrackingPV_PV_07,CentralTrackingPV,Oahu,SUN,2025,150.41059380916187,0.0,0.0,67.1,12316186.998840466,1157455.3203160106,89.5790780285834,0.2558891074610271,,
Oahu_CentralTrackingPV_PV_07,Oahu_CentralTrackingPV_PV_07,CentralTrackingPV,Oahu,SUN,2030,145.54260539241218,0.0,0.0,67.1,12316186.998840466,1157455.3203160106,92.57524477336939,0.24760734233035306,,
Oahu_CentralTrackingPV_PV_07,Oahu_CentralTrackingPV_PV_07,CentralTrackingPV,Oahu,SUN,2035,138.0472304176455,0.0,0.0,67.1,12316186.998840466,1157455.3203160106,97.60168515075287,0.23485568193326514,,
Oahu_CentralTrackingPV_PV_07,Oahu_CentralTrackingPV_PV_07,CentralTrackingPV,Oahu,SUN,2040,119.35360900734071,0.0,0.0,67.1,12316186.998840466,1157455.3203160106,112.88843656439236,0.20305277512494255,,
Oahu_CentralTrackingPV_PV_07,Oahu_CentralTrackingPV_PV_07,CentralTrackingPV,Oahu,SUN,2045,215.86680687827763,0.0,0.0,126.49734410411925,17703111.51066599,1682114.1836136421,89.80179016225738,0.19480511410604665,,
Oahu_CentralTrackingPV_PV_07,Oahu_CentralTrackingPV_PV_07,CentralTrackingPV,Oahu,SUN,2050,638.8011094142005,0.0,0.0,317.34779316372806,27593417.144007795,2686387.427708036,47.400989330596644,0.2297873268558001,,
Oahu_CentralTrackingPV_PV_08,Oahu_CentralTrackingPV_PV_08,CentralTrackingPV,Oahu,SUN,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Oahu_CentralTrackingPV_PV_08,Oahu_CentralTrackingPV_PV_08,CentralTrackingPV,Oahu,SUN,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Oahu_CentralTrackingPV_PV_08,Oahu_CentralTrackingPV_PV_08,CentralTrackingPV,Oahu,SUN,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Oahu_CentralTrackingPV_PV_08,Oahu_CentralTrackingPV_PV_08,CentralTrackingPV,Oahu,SUN,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Oahu_CentralTrackingPV_PV_08,Oahu_CentralTrackingPV_PV_08,CentralTrackingPV,Oahu,SUN,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Oahu_CentralTrackingPV_PV_08,Oahu_CentralTrackingPV_PV_08,CentralTrackingPV,Oahu,SUN,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
