FUEL_BASED_GEN_TPS_1,FUEL_BASED_GEN_TPS_2,DispatchGenRenewableMW
Oahu_Airport_DSG,2307021222,0.0
Oahu_Airport_DSG,2307050200,0.0
Oahu_Airport_DSG,2307050202,0.0
Oahu_Airport_DSG,2307050204,0.0
Oahu_Airport_DSG,2307050206,0.0
Oahu_Airport_DSG,2307050208,0.0
Oahu_Airport_DSG,2307050210,0.0
Oahu_Airport_DSG,2307050212,0.0
Oahu_Airport_DSG,2307050214,0.0
Oahu_Airport_DSG,2307050216,0.0
Oahu_Airport_DSG,2307050218,0.0
Oahu_Airport_DSG,2307050220,0.0
Oahu_Airport_DSG,2307050222,0.0
Oahu_Airport_DSG,2307092200,0.0
Oahu_Airport_DSG,2307092202,0.0
Oahu_Airport_DSG,2307092204,0.0
Oahu_Airport_DSG,2307092206,0.0
Oahu_Airport_DSG,2307092208,0.0
Oahu_Airport_DSG,2307092210,0.0
Oahu_Airport_DSG,2307092212,0.0
Oahu_Airport_DSG,2307092214,0.0
Oahu_Airport_DSG,2307092216,0.0
Oahu_Airport_DSG,2307092218,8.0
Oahu_Airport_DSG,2307092220,0.0
Oahu_Airport_DSG,2307092222,0.0
Oahu_Airport_DSG,2307102700,0.0
Oahu_Airport_DSG,2307102702,0.0
Oahu_Airport_DSG,2307102704,0.0
Oahu_Airport_DSG,2307102706,0.0
Oahu_Airport_DSG,2307102708,0.0
Oahu_Airport_DSG,2307102710,0.0
Oahu_Airport_DSG,2307102712,0.0
Oahu_Airport_DSG,2307102714,0.0
Oahu_Airport_DSG,2307102716,0.0
Oahu_Airport_DSG,2307102718,0.0
Oahu_Airport_DSG,2307102720,0.0
Oahu_Airport_DSG,2307102722,0.0
Oahu_Airport_DSG,2307121500,0.0
Oahu_Airport_DSG,2307121502,0.0
Oahu_Airport_DSG,2307121504,0.0
Oahu_Airport_DSG,2307121506,0.0
Oahu_Airport_DSG,2307121508,0.0
Oahu_Airport_DSG,2307121510,0.0
Oahu_Airport_DSG,2307121512,0.0
Oahu_Airport_DSG,2307121514,0.0
Oahu_Airport_DSG,2307121516,0.0
Oahu_Airport_DSG,2307121518,0.0
Oahu_Airport_DSG,2307121520,0.0
Oahu_Airport_DSG,2307121522,0.0
Oahu_Airport_DSG,2308022000,0.0
Oahu_Airport_DSG,2308022002,0.0
Oahu_Airport_DSG,2308022004,0.0
Oahu_Airport_DSG,2308022006,0.0
Oahu_Airport_DSG,2308022008,0.0
Oahu_Airport_DSG,2308022010,0.0
Oahu_Airport_DSG,2308022012,0.0
Oahu_Airport_DSG,2308022014,0.0
Oahu_Airport_DSG,2308022016,0.0
Oahu_Airport_DSG,2308022018,8.0
Oahu_Airport_DSG,2308022020,0.0
Oahu_Airport_DSG,2308022022,0.0
Oahu_Airport_DSG,2308041000,0.0
Oahu_Airport_DSG,2308041002,0.0
Oahu_Airport_DSG,2308041004,0.0
Oahu_Airport_DSG,2308041006,0.0
Oahu_Airport_DSG,2308041008,0.0
Oahu_Airport_DSG,2308041010,0.0
Oahu_Airport_DSG,2308041012,0.0
Oahu_Airport_DSG,2308041014,0.0
Oahu_Airport_DSG,2308041016,0.0
Oahu_Airport_DSG,2308041018,0.0
Oahu_Airport_DSG,2308041020,0.0
Oahu_Airport_DSG,2308041022,0.0
Oahu_Airport_DSG,2308061700,0.0
Oahu_Airport_DSG,2308061702,0.0
Oahu_Airport_DSG,2308061704,0.0
