owner,variable,gen_tech,gen_vintage,gen_is_intermittent,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
HECO,fuel_cost,Kahe_4,1972,0,45861672.47733741,43392371.255246796,41903131.69586273,67953358.43070003,62315408.07048278,17621529.802728407,11081908.958150983,8174712.882861517,5063901.582002085,2440420.4681128,2343962.811811914,,,,,,,,,,,,,,,,,,,
HECO,fuel_cost,Kahe_5,1974,0,71097629.05181627,66370699.08306012,61359944.56577452,139061637.40889132,135344653.88100705,113258278.173923,73568588.90340397,72457089.16180757,,,,,,,,,,,,,,,,,,,,,,
HECO,fuel_cost,Kahe_6,1981,0,65352685.25452018,62093435.03304841,61805440.8655709,33921809.72330946,47543605.56073424,20266283.79943106,,4053875.97731515,,,,,,,,,,,,,,,,,,,,,,
HECO,fuel_cost,Waiau_10,1973,0,,,,,,667501.0281441272,1289062.815641844,632730.1221426728,1322885.921848693,1230411.645509326,,416596.17131094576,,,,,,,,,,,,,,,-1.1566307457917118e-07,,,
HECO,fuel_cost,Waiau_5,1959,0,,,,494933.04606817506,,4404124.000772708,,,,,,,,,,,,,,,,,,,,,,,,
HECO,fuel_cost,Waiau_6,1961,0,,,,824358.1987286686,529109.8878641811,3403324.52303275,,,,,,,,,,,,,,,,,,,,,,,,
HECO,fuel_cost,Waiau_7,1966,0,35227333.392621,33116147.9310576,33431997.38705665,,2517606.4409473487,,3767866.357199477,3889384.8884514025,1298556.681458416,1324607.8204143774,,,,,,,,,,,,,,,,,,,,
HECO,fuel_cost,Waiau_8,1968,0,37973954.691851184,36046330.09877928,34289209.78905888,,,8701738.882160276,1243786.3417773938,2556814.546435451,5405161.359053377,2882476.275221624,,,,,,,,,,,,,,,,,,,,
HECO,fuel_cost,Waiau_9,1973,0,,,,,,571951.809369226,985123.34347177,754895.1638471752,650842.4670892347,930131.9264368823,,760592.8580948801,,,,,,,,,,,,,,,,,,
HECO,non_renewable_output,CIP_CT,2009,0,,,,,,,3117.8129298486933,15543.87895460798,6461.554332874825,9263.067400275091,6325.997248968364,,,,,,,,,,,,,,,,,,,
HECO,non_renewable_output,IC_Schofield,2018,0,,1.2664178127388582e-13,,1430.9313324140821,948.0473843238804,5360.454836597632,4870.9256965612485,5043.700687162328,7170.1621099448685,6986.311799433457,1667.9431784950516,2015.7082236792785,,,,,,,,,,,,,,,,,,
HECO,non_renewable_output,Kahe_1,1963,0,331148.7394548482,327865.52651782753,321500.4263631787,215536.82751770216,250290.8185468556,22134.2071256455,22441.324621733187,44926.92285940409,,8679.860100654776,,,,,,,,,,,,,,,,,,,,
HECO,non_renewable_output,Kahe_2,1964,0,326479.1784441924,327570.07840440195,321492.0000000001,525179.4510318051,557720.3457613509,376624.25504526414,66999.40967555178,91560.79702332892,,5606.6409903715585,9811.636599350546,9606.640185841541,,,,,,,,,,,,,,,,,,
