GENERATION_PROJECT,build_year,gen_predetermined_cap,gen_predetermined_storage_energy_mwh
Oahu_CentralTrackingPV_PV_10,2029,0.0,.
Oahu_CentralTrackingPV_PV_10,2030,0.0,.
Oahu_CentralTrackingPV_PV_10,2031,0.0,.
Oahu_CentralTrackingPV_PV_10,2032,0.0,.
Oahu_CentralTrackingPV_PV_10,2033,0.0,.
Oahu_CentralTrackingPV_PV_10,2034,0.0,.
Oahu_CentralTrackingPV_PV_10,2035,0.0,.
Oahu_CentralTrackingPV_PV_10,2036,0.0,.
Oahu_CentralTrackingPV_PV_10,2037,0.0,.
Oahu_CentralTrackingPV_PV_10,2038,0.0,.
Oahu_CentralTrackingPV_PV_10,2039,0.0,.
Oahu_CentralTrackingPV_PV_10,2040,0.0,.
Oahu_CentralTrackingPV_PV_10,2041,0.0,.
Oahu_CentralTrackingPV_PV_10,2042,0.0,.
Oahu_CentralTrackingPV_PV_10,2043,0.0,.
Oahu_CentralTrackingPV_PV_10,2044,0.0,.
Oahu_CentralTrackingPV_PV_10,2045,57.36118036646289,.
Oahu_CentralTrackingPV_PV_10,2046,0.0,.
Oahu_CentralTrackingPV_PV_10,2047,0.0,.
Oahu_CentralTrackingPV_PV_10,2048,0.0,.
Oahu_CentralTrackingPV_PV_10,2049,0.0,.
Oahu_CentralTrackingPV_PV_10,2050,33.086929407334345,.
Oahu_CentralTrackingPV_PV_11,2020,49.0,.
Oahu_CentralTrackingPV_PV_11,2021,0.0,.
Oahu_CentralTrackingPV_PV_11,2022,0.0,.
Oahu_CentralTrackingPV_PV_11,2023,0.0,.
Oahu_CentralTrackingPV_PV_11,2024,0.0,.
Oahu_CentralTrackingPV_PV_11,2025,288.35204766164367,.
Oahu_CentralTrackingPV_PV_11,2026,0.0,.
Oahu_CentralTrackingPV_PV_11,2027,0.0,.
Oahu_CentralTrackingPV_PV_11,2028,0.0,.
Oahu_CentralTrackingPV_PV_11,2029,0.0,.
Oahu_CentralTrackingPV_PV_11,2030,0.0,.
Oahu_CentralTrackingPV_PV_11,2031,0.0,.
Oahu_CentralTrackingPV_PV_11,2032,0.0,.
Oahu_CentralTrackingPV_PV_11,2033,0.0,.
Oahu_CentralTrackingPV_PV_11,2034,0.0,.
Oahu_CentralTrackingPV_PV_11,2035,0.0,.
Oahu_CentralTrackingPV_PV_11,2036,0.0,.
Oahu_CentralTrackingPV_PV_11,2037,0.0,.
Oahu_CentralTrackingPV_PV_11,2038,0.0,.
Oahu_CentralTrackingPV_PV_11,2039,0.0,.
Oahu_CentralTrackingPV_PV_11,2040,9.039826565123292,.
Oahu_CentralTrackingPV_PV_11,2041,0.0,.
Oahu_CentralTrackingPV_PV_11,2042,0.0,.
Oahu_CentralTrackingPV_PV_11,2043,0.0,.
Oahu_CentralTrackingPV_PV_11,2044,0.0,.
Oahu_CentralTrackingPV_PV_11,2045,0.0,.
Oahu_CentralTrackingPV_PV_11,2046,0.0,.
Oahu_CentralTrackingPV_PV_11,2047,0.0,.
Oahu_CentralTrackingPV_PV_11,2048,0.0,.
Oahu_CentralTrackingPV_PV_11,2049,0.0,.
Oahu_CentralTrackingPV_PV_11,2050,49.0,.
Oahu_CentralTrackingPV_PV_12,2020,0.0,.
Oahu_CentralTrackingPV_PV_12,2021,0.0,.
Oahu_CentralTrackingPV_PV_12,2022,0.0,.
Oahu_CentralTrackingPV_PV_12,2023,0.0,.
Oahu_CentralTrackingPV_PV_12,2024,0.0,.
Oahu_CentralTrackingPV_PV_12,2025,246.92423380102105,.
Oahu_CentralTrackingPV_PV_12,2026,0.0,.
Oahu_CentralTrackingPV_PV_12,2027,0.0,.
Oahu_CentralTrackingPV_PV_12,2028,0.0,.
